frame,pan,tilt
486,77.1,9.03
487,77.08,9.05
488,77.08,9.05
489,77.08,9.05
490,77.07,9.06
491,77.07,9.06
492,77.06,9.08
493,77.05,9.08
494,77.05,9.09
495,77.05,9.09
496,77.05,9.09
497,77.04,9.09
498,77.04,9.09
499,77.04,9.09
500,77.04,9.1
501,77.03,9.11
502,77.02,9.12
503,77.02,9.12
504,77.01,9.13
505,77.01,9.13
506,77.01,9.13
507,77.01,9.13
508,77.01,9.13
509,77,9.14
510,77,9.14
511,77,9.14
512,76.99,9.14
513,76.99,9.14
514,76.99,9.15
515,76.99,9.15
516,76.98,9.15
517,76.98,9.15
518,76.98,9.15
519,76.98,9.16
520,76.98,9.16
521,76.98,9.16
522,76.97,9.16
523,76.97,9.16
524,76.97,9.16
525,76.97,9.16
526,76.97,9.16
527,76.97,9.16
528,76.97,9.16
529,76.97,9.16
530,76.97,9.16
531,76.97,9.16
532,76.96,9.17
533,76.96,9.17
534,76.96,9.17
535,76.96,9.17
536,76.96,9.17
537,76.96,9.17
538,76.96,9.17
539,76.96,9.17
540,76.96,9.17
541,76.96,9.17
542,76.96,9.17
543,76.96,9.17
544,76.95,9.17
545,76.95,9.17
546,76.95,9.17
547,76.95,9.17
548,76.95,9.17
549,76.95,9.17
550,76.95,9.17
551,76.95,9.17
552,76.95,9.17
553,76.95,9.17
554,76.95,9.17
555,76.95,9.17
556,76.95,9.17
557,76.95,9.17
558,76.95,9.17
559,76.95,9.17
560,76.95,9.17
561,76.95,9.17
562,76.95,9.17
563,76.95,9.17
564,76.95,9.17
565,76.95,9.17
566,76.95,9.17
567,76.95,9.17
568,76.95,9.17
569,76.95,9.17
570,76.95,9.17
571,76.95,9.17
572,76.95,9.17
573,76.95,9.17
574,76.95,9.17
575,76.95,9.17
576,76.95,9.17
577,76.95,9.17
578,76.95,9.17
579,76.95,9.17
580,76.95,9.17
581,76.95,9.17
582,76.95,9.17
583,76.95,9.17
584,76.95,9.17
585,76.95,9.17
586,76.95,9.17
587,76.95,9.17
588,76.95,9.17
589,76.95,9.17
590,76.95,9.17
591,76.95,9.17
592,76.95,9.18
593,76.95,9.18
594,76.95,9.18
595,76.95,9.18
596,76.95,9.18
597,76.95,9.17
598,76.94,9.05
599,76.93,9
600,76.92,8.94
601,76.89,8.83
602,76.89,8.83
603,76.89,8.83
604,76.88,8.77
605,76.87,8.71
606,76.85,8.59
607,76.84,8.54
608,76.84,8.54
609,76.84,8.54
610,76.82,8.48
611,76.78,8.4
612,76.78,8.4
613,76.76,8.36
614,76.72,8.29
615,76.7,8.25
616,76.68,8.21
617,76.68,8.21
618,76.65,8.14
619,76.63,8.11
620,76.63,8.11
621,76.61,8.09
622,76.58,8.04
623,76.58,8.04
624,76.56,8.02
625,76.53,8
626,76.52,8
627,76.52,8
628,76.52,8
629,76.52,8
630,76.52,8
631,76.52,8
632,76.52,8
633,76.52,8
634,76.52,8
635,76.52,8
636,76.52,8
637,76.52,8
638,76.51,8
639,76.51,8
640,76.51,8
641,76.51,8
642,76.5,8
643,76.5,8
644,76.5,8
645,76.49,8
646,76.49,8
647,76.49,8
648,76.49,8
649,76.48,8.02
650,76.47,8.02
651,76.47,8.02
652,76.47,8.02
653,76.46,8.03
654,76.45,8.04
655,76.45,8.04
656,76.45,8.04
657,76.45,8.04
658,76.44,8.05
659,76.43,8.05
660,76.41,8.07
661,76.4,8.08
662,76.39,8.08
663,76.39,8.08
664,76.38,8.09
665,76.36,8.1
666,76.36,8.1
667,76.35,8.11
668,76.34,8.12
669,76.33,8.12
670,76.33,8.12
671,76.33,8.12
